,engine,alpha,v,sum2,sum3,mean2,mean3,stdev2,stdev3
86,-1.0,0.0,12.0,807763.3368585927,725404.7207557976,2.103544878421131,1.8890698741820922,3.9333776072330737,3.953306305545232
87,-1.0,0.0,15.0,1165613.1062898608,1308517.1364522602,3.0354428928306456,3.407587835584439,5.634269109312216,7.124475002374968
88,-1.0,0.0,18.0,1944335.2258307615,2253593.095573054,5.063359798101467,5.868716736604994,9.212196524983069,11.460727306762028
89,-1.0,0.0,19.5,2386745.0186169287,2668412.029369949,6.215465633206499,6.948971563537462,10.982760319994613,13.173959973132476
90,-1.0,0.0,7.0,396864.89805744076,405361.81073959195,1.0334996472859206,1.055626966439129,1.282780020796139,1.8521688206292655
91,-1.0,10.0,10.0,724686.6001954739,687824.8943427097,1.8871997734263033,1.791205997751854,3.9879139832153796,4.3013741100946
92,-1.0,10.0,12.0,929041.2842190028,962994.1144596686,2.419372043872289,2.507790642367256,5.118585917447642,6.029688343993201
93,-1.0,10.0,15.0,1484066.509495227,1557460.073399261,3.864746470699886,4.055875045635978,8.013326245345677,9.47415688508757
94,-1.0,10.0,16.0,1774212.55085455,1834862.9802200657,4.620333152399473,4.778276567561193,9.394447582123233,10.878827414980291
95,-1.0,10.0,7.0,451538.05126431177,461710.33814537525,1.1758772796537296,1.2023675410881098,1.9110655143046327,2.4989068208107965
96,-1.0,15.0,10.0,792176.5454999701,751418.9277254948,2.0629543816291367,1.956815028412673,4.86701053822141,5.157106481580427
97,-1.0,15.0,12.0,1133792.7705213989,975890.4511173014,2.952577650895177,2.5413747649545217,6.962185749024842,6.77895860885666
98,-1.0,15.0,15.0,1525487.8046706936,1497776.9198820118,3.9726141459805926,3.9004505714360427,8.991666586277415,10.085185052045565
99,-1.0,15.0,7.0,504490.58293965016,489846.4162521211,1.3137741384518533,1.2756383870149326,2.6285927008140444,3.0624134331936363
100,-1.0,20.0,10.0,918491.6421836612,666353.2660203681,2.3918990892827394,1.7352904446091757,6.412080331882923,5.216327951969104
101,-1.0,20.0,12.0,1083998.0438795204,868010.9424654341,2.8229042212898414,2.2604392761097865,7.275165559790707,6.8355017261925815
102,-1.0,20.0,14.0,1329260.6495019917,1204599.2291035086,3.46160726014253,3.1369689899336426,8.734008440515701,9.090637999117549
103,-1.0,20.0,7.0,612861.0184709895,537209.8033437966,1.5959880793825785,1.3989802196968149,4.271686048375113,4.100058270833013
104,-1.0,30.0,10.0,1168110.2398908227,1791789.629186269,3.041945827981757,4.666106674686444,11.82892906149748,14.802226372646293
105,-1.0,30.0,12.0,1500421.8430397336,2435520.2770037097,3.90733837422229,6.342484204477878,16.120629201518117,20.893970056374084
106,-1.0,30.0,13.5,1681661.012942629,2925108.553551047,4.379314150074164,7.617450354428887,18.236014630194436,25.83691556641857
107,-1.0,30.0,7.0,775121.2234071397,849577.9271495554,2.0185395960092283,2.212436757064579,6.614542068989864,7.250431456672225
108,-1.0,45.0,10.0,466054.3325080303,364936.1500836854,1.2136799969480034,0.9503520826343822,4.108670575470526,2.782920404234877
109,-1.0,45.0,12.0,590834.5889449301,450955.2652125502,1.5386277352010285,1.1743596115961943,7.267199396785668,5.118691847084195
110,-1.0,45.0,13.5,800668.5053515956,647655.579988836,2.085068802819773,1.6865986807035294,10.282011856319498,7.588369092055314
111,-1.0,45.0,7.0,431502.9811979404,359739.62253108004,1.123702753893715,0.9368194940405885,2.1719776282999472,2.067095603402302
112,-1.0,5.0,10.0,594439.0659198877,553945.3227061988,1.5480143695456203,1.4425621878750283,2.787934187310207,2.926925711877265
113,-1.0,5.0,12.0,858722.9107061421,910021.7824841563,2.2362517563916295,2.3698422204217082,4.43417931279541,5.316256506055853
114,-1.0,5.0,15.0,1341618.6296303715,1446812.4600208479,3.4937894162524876,3.7677309695048917,6.866085802371724,8.140235704603956
115,-1.0,5.0,16.0,1649788.8204691296,1728849.821088969,4.296313864987669,4.502201351269838,8.301375132788941,9.544362884443725
116,-1.0,5.0,7.0,456346.1088333289,442727.90829643083,1.1883982302997358,1.1529342587556564,1.8945045579671644,2.23829847155716
117,-1.0,60.0,10.0,888182.6305259182,478809.5176116259,2.3129695769696386,1.2468965383205406,10.230270797376118,6.406805056005068
118,-1.0,60.0,10.0,549453.9485939287,428123.20121131535,1.4308659315833259,1.1149012664324192,4.543834384420951,4.184152046418427
119,-1.0,60.0,12.0,1401617.7558822942,726677.5659819501,3.650036733972813,1.8923845666598529,16.981045524175762,11.286382222123327
120,-1.0,60.0,12.0,670772.2422261803,568922.6903379898,1.7467981651771227,1.4815656478446406,7.3089748587227374,6.417467416039994
121,-1.0,60.0,7.0,440711.3657031912,341536.55504609883,1.1476828594279473,0.8894157959122472,3.2361126314442843,2.641144755188626
122,-1.0,60.0,7.0,474064.05000896315,363643.1771349285,1.2345385819541177,0.946984974348839,2.932787814348574,2.774956054637463
123,-1.0,75.0,10.0,644949.842130855,422347.9958090427,1.6795525067144486,1.0998617081961837,7.779919716817411,5.935802883590346
124,-1.0,75.0,7.0,408349.64962016407,292936.17834830406,1.0634077765947592,0.7628526445199467,2.3810575244293046,2.21376886513079
125,-1.0,90.0,10.0,839649.8847576879,517860.6050471055,2.186582547331095,1.3485918136856558,15.152702342354209,9.954633719296071
126,-1.0,90.0,5.0,419708.8205192314,269257.359107099,1.0929888737769728,0.7011892133278272,2.4731569192031873,1.7944817612960073
127,-1.0,90.0,7.0,513887.4413947915,342487.8679812321,1.3382450602857583,0.8918931668960032,5.073628286924353,3.501676714852661
